Country,Continent,Beverage_Types,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Colombia,South America,All types,4.38,4.41,4.44,4.37,4.28,4.34,4.45,4.66,4.53,4.38,4.26,4.25,4.45,4.43,4.66
Colombia,South America,Beer,3.03,3.03,3.05,2.95,2.86,2.95,3.06,3.18,3.03,2.84,2.66,2.66,2.73,2.61,2.89
Colombia,South America,Wine,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03
Colombia,South America,Spirits,1.28,1.31,1.31,1.34,1.36,1.33,1.33,1.41,1.44,1.47,1.54,1.55,1.65,1.77,1.7
Colombia,South America,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03
Comoros,Africa,All types,,,,0.12,0.15,0.17,0.12,0.16,0.25,0.24,0.27,0.26,0.08,0.08,0.09
Comoros,Africa,Beer,,,,0.02,0.04,0.04,0.04,0.05,0.13,0.15,0.13,0.11,0.02,0.02,0.02
Comoros,Africa,Wine,,,,0.05,0.03,0.02,0.02,0.04,0.02,0.02,0.05,0.05,0.02,0.03,0.03
Comoros,Africa,Spirits,,,,0.05,0.08,0.1,0.06,0.07,0.09,0.06,0.08,0.1,0.04,0.04,0.03
Comoros,Africa,Other alcoholic beverages,,,,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Africa,All types,,,,3.82,3.53,3.47,2.58,2.75,2.25,2.03,2.58,2.45,2.55,2.3,2.26
Congo,Africa,Beer,,,,3.27,2.9,2.86,1.96,2.15,1.76,1.54,1.72,1.72,1.75,1.54,1.6
Congo,Africa,Wine,,,,0.21,0.28,0.27,0.33,0.23,0.27,0.23,0.32,0.21,0.27,0.3,0.23
Congo,Africa,Spirits,,,,0.34,0.35,0.34,0.29,0.37,0.22,0.26,0.54,0.52,0.53,0.46,0.43
Congo,Africa,Other alcoholic beverages,,,,0,0,0,0,0,0,0,0,0,0,0,0
